meta,id,name,description,mitra_id,start_period,months_duration,activity_type,location,fields_of_study,quota,min_semester,skills,web_portal,show_salary,mobilization,accommodation,is_applied,wishlist,is_external,external_platform_name,external_platform_logo_url,salary
,8b8001a6-092b-410b-ac0c-260dcf7f427b,New Business Development Internship (Jakarta Pusat),"- Final year student or fresh graduate 
- Passionate and interested in beauty industry 
- Fluent in English both written and oral 
- Willing to join min. 3 months full time internship
",e11ceed4-4513-4073-8674-eb7950a05c2b,2024-02-06T07:28:52.149199+07:00,0,WFO,Menteng,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/new-business-development-internship-jakarta-pusat-jbkf?utm_source=website&utm_medium=govtech&utm_campaign=socialla-businessdevelopment,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,c6e483e2-eb1c-48be-8bc7-0bbddd1f7c15,Data Entry - Academic / Pendidikan,"-Melakukan penginputan data administrasi termasuk lay out yang berhubungan dengan akademik/pendidikan 

- Teliti, memiliki keterampilan komunikasi yang baik dan kreatif 

-Hadir setiap hari kerja (senin-jumat pada pukul 08.30-17.30) 

-Memiliki laptop pribadi 

-Durasi intenship selama 6 bulan 

-Berdomisili di Jakata Selatan
",9a7556bd-6029-4dbd-b57d-11d7dcae6720,2024-02-06T07:28:52.149199+07:00,0,WFO,Setia Budi,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/data-entry-academicpendidikan-nwrg?utm_source=website&utm_medium=govtech&utm_campaign=edigy-dataentry,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,800000.0
,b1d08356-90f0-44cb-b113-a0565cc03a5a,Social Media Creative (Paid Internship),"Requirements:
- Mahasiswa semester akhir/fresh graduate are welcome
- Familiar dengan Social Media (Instagram/Tiktok)
- Percaya diri & kreatif
- Dapat mengoperasikan Kamera

Job Description:
- Membuat content plan bulanan
- Membuat Video unik yang up to date
- Dapat membuat konsep untuk social media
",e6e8b0c2-2e70-450d-8527-ef82cc0c5afb,2024-02-06T07:28:52.149199+07:00,0,WFO,Kembangan,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/social-media-creative-paid-internship-oifw?utm_source=website&utm_medium=govtech&utm_campaign=goldenwestindo-sosmed,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,4a3517eb-3764-4673-96cd-fbb71adf57e8,Corporate Communication INTERNSHIP,"Job Description:
• Cultivate relationships with internal teams, media, partners, and the public.
• Uphold and enhance the corporate image and brand identity.
• Monitor and analyze media coverage for strategic insights.
• Coordinate internal and external events (Press Conferences, MC, Content).
• Create compelling copy for press releases and social media.
• Develop effective content marketing strategies on social media.
• Stay informed about current trends and issues for strategic adaptation.

Qualifications:
• Currently a final year student or a recent graduate, with a major in journalism, communication, public relations, marketing, or a related field.
• Willing to commit to a 6-month internship.
• Possess strong communication, analytical, creative, and agile skills.
• Excellent negotiation skills.
• Proficient in creative design.
",557e1601-6d7f-44e4-bb2f-6a8ae1bc6ffa,2024-02-06T07:28:52.149199+07:00,0,WFO,Tebet,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/corporate-communication-internship-3bse?utm_source=website&utm_medium=govtech&utm_campaign=markplus-corpcomm,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,b8cb0720-c67e-492f-948d-eb31392d504d,Internship Admin Marketing,"Tugas & Tanggung Jawab :

Membantu mengecek data penjualan yang masuk

Membantu input data ke dalam system CRM

Filing dokumen

Membantu membuat dokumen-dokumen terkait penjualan

Kualifikasi :

Wanita, berpenampilan menarik

Usia maksimal 25 tahun

Pendidikan minimal SMA/SMK sederajat

Terbiasa dengan Microsoft, terutama Microsoft Excel

Mampu mengetik 10 jari

Memiliki laptop pribadi

Teliti, cermat, dan attention to detail

Hari kerja: Senin - Sabtu

Penempatan: Bintara, Bekasi Barat 


",abdb9e3b-3f29-4b0d-bb05-c6ad3a2af1c7,2024-02-06T07:28:52.149199+07:00,0,WFO,Bekasi Barat,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/internship-admin-marketing-fbc1?utm_source=website&utm_medium=govtech&utm_campaign=klik-adminmarketing,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,500000.0
,13e1ed36-347e-4e86-9162-e6f88f077784,IT Intern,"Requirements:

Pendidikan min. SMK/S1 Teknik Komputer / Multimedia

Memiliki pengetahuan dasar mengenai Infrastruktur Server Windows / OS Linux Server

Memiliki pengetahun mengenai Jaringan LAN & Internet

Memiliki pengalaman troubleshooting Hardware & Software

Memiliki pengalaman Setting CCTV
",4dfbaa6f-a2fb-4480-8d40-1c17382fada8,2024-02-06T07:28:52.149199+07:00,0,WFO,Pagedangan,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/it-intern-f1nw?utm_source=website&utm_medium=govtech&utm_campaign=teguk-it,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,1000000.0
,0c472180-e5a3-4069-aae6-5eda5de325db,Admin Warehouse (u/ anak SMK yang sedang program PKL),"Staff Warehouse 

Melakukan kegiatan administrasi Gudang

Memastikan Inventaris kantor terawat dan tersusun dengan Rapih 

Membantu staff dalam menyelesaikan administrasi kantor

Laki-laki

Minimal Pendidikan SMA/SMK

Program magang akan berlangsung selama 3 - 6 bulan

Mempunyai pribadi yang teliti dan rapih

Untuk Program Magang atau PKL dapat mendaftar

Diutamakan Wilayah Kelapa Gading dan Sekitarnya ( Jakarta Utara) 
",d16c5e47-ebf7-40c6-8e67-6464e8614caa,2024-02-06T07:28:52.149199+07:00,0,WFO,Kelapa Gading,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/admin-warehouse-pkl-magang-qcjr?utm_source=website&utm_medium=govtech&utm_campaign=sme-admin,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,100000.0
,ab9030d1-30c2-4fbb-814a-22deb3721a39,Resepsionis Administratif,"Kualifikasi :

Minimal 3 Bulan Magang atau PKL

Bersedia membantu pekerjaan dari Senin s.d Jumat

Bersedia menjalankan tugas setiap Divisi

Siap bekerja keras, Ulet, Jujur dan Bertanggungjawab

Siap kerjasama dalam tim
",e7110a5c-ba1d-4fa4-9866-8d17da9c875c,2024-02-06T07:28:52.149199+07:00,0,WFO,Tapos,,5,0,,https://kerja.kitalulus.com/id/lowongan/detail/resepsionis-administratif-mcb4?utm_source=website&utm_medium=govtech&utm_campaign=alka-resepsionis,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,7ec0f438-2c6b-43bd-9508-c924f2584b04,Videographer,"Minat dan antusiasme terhadap desain grafis.
Memiliki portofolio desain yang menarik.
Menguasai Adobe Creative Suite (Photoshop, Illustrator), Canva, atau perangkat lunak desain lainnya.
Mampu melakukan multitasking dan cepat menyelesaikan proyek.
",a6975bf4-8f82-4111-91f9-5d331db9b5c0,2024-02-06T07:28:52.149199+07:00,0,WFO,Pancoran,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/videographer-vhik?utm_source=website&utm_medium=govtech&utm_campaign=karsa-videographer,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,0.0
,aeac6439-6dda-438e-86fd-62ee62ec5494,Admin intern,"1. Usia 20-25th 

2. Laki-laki 

3. Pendidikan Min. SMK/sederajat 

4. Memiliki Kemampuan komputerisasi & administrasi yang baik 

5. Penempatan di Kantor Cabang Surabaya (Tambak Sawah, Sidoarjo)
",b7bb0f11-865b-4c32-8969-9cdac561e075,2024-02-06T07:28:52.149199+07:00,0,WFO,Waru,,1,0,,https://kerja.kitalulus.com/id/lowongan/detail/admin-intern-nath?utm_source=website&utm_medium=govtech&utm_campaign=wujud-admin,True,False,False,False,False,True,KitaLulus,https://i.imgur.com/1WEx0zY.png,450000.0
